"ch_1","ch_2","ch_3","ch_4","ch_5","ch_6","ch_7","ch_8","finger"
"0.016353","0.023713","0.054301","0.026193","0.028481","0.027849","0.011812","0.009554","0"
"0.013991","0.024632","0.058882","0.022065","0.026266","0.023071","0.010501","0.0088863","0"
"0.014205","0.022685","0.061958","0.02658","0.026403","0.025708","0.010091","0.008707","0"
"0.015543","0.022329","0.054137","0.02584","0.028857","0.027971","0.011711","0.0095955","0"
"0.016477","0.022592","0.05302","0.023552","0.029335","0.02691","0.012402","0.0095218","0"
"0.011137","0.019626","0.041551","0.021235","0.021667","0.022349","0.010414","0.0084181","0"
"0.012043","0.019469","0.040205","0.017072","0.018146","0.015654","0.0095327","0.0083953","0"
"0.012637","0.02055","0.052766","0.020598","0.01405","0.01455","0.0086542","0.0083516","0"
"0.014073","0.018033","0.048929","0.02558","0.029191","0.028415","0.012078","0.0099427","0"
"0.018433","0.027073","0.051713","0.025835","0.030106","0.035359","0.010849","0.0093359","0"
"0.020589","0.024394","0.073653","0.032184","0.031079","0.032617","0.012224","0.0096929","0"
"0.017075","0.024708","0.074772","0.027767","0.027234","0.027688","0.012575","0.0091139","0"
"0.021061","0.039902","0.059999","0.026801","0.029761","0.028781","0.011554","0.01132","0"
"0.020313","0.02779","0.05811","0.033145","0.031769","0.029564","0.012588","0.01122","0"
"0.0232","0.035104","0.07663","0.034204","0.033012","0.033446","0.013055","0.010512","0"
"0.021895","0.030846","0.053557","0.031508","0.033542","0.031822","0.01161","0.011008","0"
"0.016466","0.025696","0.051626","0.025831","0.033568","0.034796","0.012749","0.0093932","0"
"0.017646","0.026005","0.04699","0.024532","0.024448","0.025644","0.010724","0.0095763","0"
"0.016432","0.025619","0.066937","0.024625","0.0298","0.030055","0.012696","0.011037","0"
"0.012264","0.020945","0.052512","0.022346","0.02564","0.027046","0.01138","0.0092748","0"
"0.015636","0.025131","0.057522","0.029147","0.02961","0.031226","0.012683","0.010977","0"
"0.019605","0.03321","0.078127","0.032455","0.033638","0.032442","0.011937","0.010578","0"
"0.015142","0.02445","0.059064","0.02429","0.028832","0.028314","0.012717","0.010163","0"
"0.016243","0.022008","0.053715","0.026025","0.027641","0.027102","0.010646","0.010268","0"
"0.01704","0.02433","0.060424","0.025572","0.035966","0.037594","0.013077","0.010166","0"
"0.018141","0.024416","0.070667","0.035388","0.03937","0.033033","0.01243","0.010257","0"
"0.016714","0.027437","0.066941","0.034308","0.030324","0.028682","0.012347","0.01133","0"
"0.016422","0.037268","0.060201","0.03328","0.029874","0.029983","0.012566","0.010644","0"
"0.018553","0.027073","0.067109","0.027374","0.029786","0.030348","0.011556","0.0098322","0"
"0.016427","0.031924","0.079155","0.026093","0.028171","0.027984","0.011645","0.010068","0"
"0.01988","0.029297","0.078908","0.035417","0.041684","0.039507","0.014285","0.010862","0"
"0.017575","0.030587","0.061677","0.031199","0.029998","0.0323","0.011002","0.010422","0"
"0.021906","0.046221","0.074328","0.028254","0.031814","0.030314","0.012835","0.01061","0"
"0.01462","0.059482","0.079594","0.038929","0.019096","0.010434","0.0086999","0.010494","0"
